search_term,result_count_raw,result_count,result_datasets
crime,"
      2 Results
      filtered by  ",2,"SFPD Incidents - from 1 January 2003, Police Calls for Service"
business,"
      18 Results
      filtered by  ",18,"Registered Business Locations - San Francisco, Form 700 Schedule D, Airport (SFO) Contract Opportunities, Form 700 Schedule A1, Form 700 Schedule A2, Off-Street parking lots and parking garages, Form 700 Schedule C, Expenditure Lobbyists Registration and Monthly Disclosure Reports, Campaign Finance - SFEC 1.126 Notification of Contract Approval Filings, Parking Spaces at Off-street Parking Facilities"
parking,"
      32 Results
      filtered by  ",32,"Parking meters, Off-Street parking lots and parking garages, Blue Zone (Accessible) Parking, Recreation & Park Department Park Info Dataset, Unmetered Motorcycle Parking, SFMTA-Enforced Temporary Tow Zones, Metered motorcycle spaces, Meter Operating Schedules, Meter Rate Schedules, San Francisco Development Pipeline 2015 Quarter 2"
streets,"
      66 Results
      filtered by  ",66,"Street Names, Miles Of Streets, Street Acceptance Data, Streets Data - Pavement Condition Index (PCI) Scores, Street Tree List, Street-Use Permits, List of Streets and Intersections, Streets Data -Historical Pavement Condition Index (PCI) Scores, Utility Excavation Moratorium Streets, Market Street Hub"
311,"
      9 Results
      filtered by  ",9,"311 Information Requests by Month, 311 Call Metrics, Case Data from San Francisco 311 (SF311), 311 Cases by Channel, HSA 90 day emergency shelter waitlist, Graffiti - 30 Days, Current San Francisco Advisories, Market Street Hub, Fire Safety Complaints"
parcel,"
      18 Results
      filtered by  ",18,"Boiler Permits, Historic Secured Property Tax Rolls, Plumbing Permits, Electrical Permits, 2011 Housing Inventory, Building Permits, Envista Projects for Utility Excavation and Paving, 2012 Housing Inventory, Building Complaints, Addresses with Units - Enterprise Addressing System (EAS)"
shapefile,"
      3 Results
      filtered by  ",3,"Metered motorcycle spaces, Off-Street parking lots and parking garages, Parking meters"
street,"
      66 Results
      filtered by  ",66,"Street Names, List of Streets and Intersections, Street Tree List, Street-Use Permits, Utility Excavation Moratorium Streets, FY07-11 Street Evaluation Results, Miles Of Streets, Street Segment and Intersection (CNN) Change Log, Market Street Hub, Street Acceptance Data"
restaurants,"
      1 Result
      filtered by  ",1,Food Inspections - LIVES Standard
population,"
      1 Result
      filtered by  ",1,San Francisco City Survey Data 1996-2015
water,"
      2 Results
      filtered by  ",2,"Late Night Preferential Runway Use, Petitions to the Rent Board"
traffic,"
      9 Results
      filtered by  ",9,"Air Traffic Passenger Statistics, Air Traffic Landings Statistics, Muni Driver Reported Transit Only Lane Violations, Traffic Signals, Air Traffic Cargo Statistics, Traffic Circles, Late Night Preferential Runway Use, San Francisco Development Pipeline 2012 Quarter 2, Air Carrier Runway Use"
parks,"
      32 Results
      filtered by  ",32,"Recreation & Park Department Park Info Dataset, Parking meters, Off-Street parking lots and parking garages, Park Evaluation Scores starting Fiscal Year 2015, Park Scores 2005-2014, Bicycle Parking (Public), Blue Zone (Accessible) Parking, Parking Spaces at Off-street Parking Facilities, Aircraft Parking Activity Records at SFO, Assets Maintained by the Recreation and Parks Department"
census,"
      9 Results
      filtered by  ",9,"census_tracts_odata2, San Francisco Flood Health Vulnerability, Requests for Information Regarding Protected Status Related to Owner Move-In Evictions, Parking Spaces at Off-street Parking Facilities, Buyout agreements, Appeals to the Rent Board, Eviction Notices, Historic Secured Property Tax Rolls, Petitions to the Rent Board"
income,"
      3 Results
      filtered by  ",3,"Form 700 Schedule C, Form 700 Schedule B, Form 700 Schedule A2"
